dl
format = edgelist1
n=2552
data:
initially army 1.0	
replacing intended 1.0	
number not 1.0	
steal military 1.0	
twitter blocked 1.0	
power hosni 1.0	
pbs him 1.0	
egypts almost 1.0	
un hour 1.0	
th again 2.0	
protests largest 1.0	
noon marching 1.0	
say police 1.0	
let another 1.0	
policy dictator 1.0	
power attacking 1.0	
st hour 1.0	
not military 2.0	
largely his 1.0	
stands american 1.0	
st gathered 1.0	
mubarak he 5.0	
was clear 1.0	
with been 1.0	
where egypts 1.0	
phone january 1.0	
responded his 1.0	
responded him 1.0	
used suspended 1.0	
him demonstrators 1.0	
his demonstrators 1.0	
san end 1.0	
streets protests 2.0	
street mubarak 1.0	
power ali 1.0	
tuesday activists 1.0	
un gathered 1.0	
tear protests 1.0	
protests continued 1.0	
clinton change 1.0	
hundreds demand 1.0	
services many 1.0	
attacking appeared 1.0	
few aid 1.0	
observers clintons 1.0	
refer instead 1.0	
used there 1.0	
st rallied 1.0	
independent by 1.0	
january egyptian 1.0	
egypts american 1.0	
disabled are 2.0	
thought not 1.0	
took rest 1.0	
showed demonstrators 1.0	
thought appeared 1.0	
th president 2.0	
took early 1.0	
some least 2.0	
key instead 1.0	
stay goal 1.0	
many goal 1.0	
on-the-ground american 1.0	
state goal 1.0	
obama by 1.0	
newspapers by 1.0	
vice not 1.0	
services activists 1.0	
reluctant administration 1.0	
gas fire 1.0	
noon hour 1.0	
un rallied 1.0	
junta he 1.0	
streets comments 1.0	
mubarak few 1.0	
down a 1.0	
power are 1.0	
took san 1.0	
marched baton 1.0	
people mubarak 2.0	
phone many 2.0	
police appeared 1.0	
people corrupt 1.0	
suspended disabled 1.0	
rest police 1.0	
there lawyers 1.0	
replacing mubarak 1.0	
who ali 1.0	
years dictator 1.0	
run not 2.0	
facing egypt 1.0	
street police 1.0	
plaza near 1.0	
end ben 1.0	
largest dictatorship 1.0	
thought power 1.0	
streets down 1.0	
protesters montgomery 1.0	
where almost 1.0	
people gas 1.0	
people chanting 1.0	
protesters initially 1.0	
some live 2.0	
with killed 1.0	
power demand 1.0	
some protesters 2.0	
liking aid 1.0	
backing aid 1.0	
on-the-ground almost 1.0	
those oppression 1.0	
san francisco 1.0	
corrupt administration 1.0	
live killed 1.0	
policy ally 1.0	
was hillary 1.0	
streets all 1.0	
took say 1.0	
rallied noon 1.0	
saudi hosni 1.0	
where stands 1.0	
san hundreds 1.0	
tear day 1.0	
internet country 1.0	
dictator called 1.0	
government goal 1.0	
th alexandria 2.0	
who mubarak 1.0	
us people 2.0	
with some 2.0	
observers all 1.0	
noon gathered 1.0	
openly admit 1.0	
september mubarak 1.0	
not ally 1.0	
th people 1.0	
showed hillary 1.0	
number foreign 1.0	
power police 1.0	
steal mubarak 1.0	
oppression government 1.0	
years power 1.0	
newspapers blocked 1.0	
st alexandria 2.0	
street state 1.0	
refer president 2.0	
years freedom 1.0	
freedom chanting 1.0	
he achieved 1.0	
issues he 1.0	
government application 1.0	
pbs foreign 1.0	
september junta 1.0	
who are 1.0	
power achieved 1.0	
many buildings 2.0	
wounded tear 1.0	
egyptian alexandria 1.0	
water police 1.0	
used are 2.0	
tuesday all 1.0	
liking admit 1.0	
revolution goal 1.0	
join end 1.0	
took service 1.0	
smaller end 1.0	
protests day 1.0	
he aid 1.0	
election demonstrators 1.0	
with people 1.0	
obama administration 1.0	
th millions 2.0	
station near 1.0	
dictator ali 1.0	
television mubarak 1.0	
st millions 2.0	
he arabia 1.0	
were ammunition 2.0	
there disabled 1.0	
state observers 1.0	
who demand 1.0	
january biden 1.0	
mid-afternoon bambuser 1.0	
observers comments 1.0	
by administration 1.0	
january called 1.0	
refer him 1.0	
bambuser application 1.0	
used crowds 1.0	
television goal 1.0	
protesters hour 1.0	
rest not 1.0	
responded re-election 1.0	
with canisters 1.0	
with fire 1.0	
he ali 1.0	
took smaller 1.0	
obama clear 1.0	
smaller cities 1.0	
state rest 1.0	
by are 2.0	
mid-afternoon government 1.0	
thousands service 1.0	
gas from 1.0	
evening buildings 1.0	
washington showed 1.0	
say not 1.0	
station marching 1.0	
who administration 1.0	
streets government 1.0	
september he 1.0	
services being 1.0	
clear administration 1.0	
much again 1.0	
intended fired 1.0	
riot baton 1.0	
protesters fire 1.0	
